keyword,search_volume,difficulty,locale,intent
custom business cards,14000,43,en-US,transactional
eco-friendly brochure printing,2200,35,en-US,informational
grote spandoek printen,1800,48,nl-NL,transactional
goedkope flyers drukken,3500,40,nl-NL,transactional
impressão de catálogos,2900,42,pt-BR,transactional
business card templates,9000,38,en-US,informational
drukken visitekaartjes,2500,44,nl-NL,transactional
catálogos personalizados,3100,37,pt-BR,transactional
flyers full color,2700,41,en-US,transactional
ontwerp je eigen flyer,1900,39,nl-NL,informational
criação de panfletos,2800,36,pt-BR,informational
